$type,id,url,commonName,placeType,lat,lon
"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities",BikePoints_49,/Place/BikePoints_49,"Curzon Street, Mayfair",BikePoint,51.507069,-0.145904
"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities",BikePoints_50,/Place/BikePoints_50,"East Road, Hoxton",BikePoint,51.528673,-0.087459
"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities",BikePoints_51,/Place/BikePoints_51,"Finsbury Library , Finsbury",BikePoint,51.526717,-0.104298
"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities",BikePoints_52,/Place/BikePoints_52,"Roscoe Street, St. Luke's",BikePoint,51.522954,-0.094934
"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities",BikePoints_53,/Place/BikePoints_53,"Grafton Street, Mayfair",BikePoint,51.509992,-0.143495
"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities",BikePoints_54,/Place/BikePoints_54,"Golden Lane, Barbican",BikePoint,51.521747,-0.094475
"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities",BikePoints_55,/Place/BikePoints_55,"Finsbury Circus, Liverpool Street",BikePoint,51.517075,-0.086685
"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities",BikePoints_56,/Place/BikePoints_56,"Paddington Street, Marylebone",BikePoint,51.520583,-0.154701
"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities",BikePoints_57,/Place/BikePoints_57,"Guilford Street , Bloomsbury",BikePoint,51.523346,-0.120202
"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities",BikePoints_58,/Place/BikePoints_58,"New Inn Yard, Shoreditch",BikePoint,51.524526,-0.079248
"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities",BikePoints_60,/Place/BikePoints_60,"Lisson Grove, St. John's Wood",BikePoint,51.526448,-0.17219
"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities",BikePoints_61,/Place/BikePoints_61,"Great Dover Street, The Borough",BikePoint,51.497382,-0.089446
"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities",BikePoints_62,/Place/BikePoints_62,"Cotton Garden Estate, Kennington",BikePoint,51.490757,-0.106323
"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities",BikePoints_63,/Place/BikePoints_63,"Murray Grove , Hoxton",BikePoint,51.53089,-0.089782
"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities",BikePoints_64,/Place/BikePoints_64,"William IV Street, Strand",BikePoint,51.509462,-0.124749
"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities",BikePoints_65,/Place/BikePoints_65,"Gower Place , Euston",BikePoint,51.525227,-0.135188
"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities",BikePoints_66,/Place/BikePoints_66,"Holborn Circus, Holborn",BikePoint,51.51795,-0.108657
"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities",BikePoints_67,/Place/BikePoints_67,"Hatton Garden, Holborn",BikePoint,51.518825,-0.108028
"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities",BikePoints_68,/Place/BikePoints_68,"Theobald's Road , Holborn",BikePoint,51.520596,-0.116688
"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities",BikePoints_69,/Place/BikePoints_69,"Euston Road, Euston",BikePoint,51.526236,-0.134407
"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities",BikePoints_70,/Place/BikePoints_70,"Calshot Street , King's Cross",BikePoint,51.53136,-0.117069
"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities",BikePoints_71,/Place/BikePoints_71,"Newgate Street , St. Paul's",BikePoint,51.515418,-0.09885
"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities",BikePoints_72,/Place/BikePoints_72,"Farringdon Lane, Clerkenwell",BikePoint,51.52352,-0.10834
